,Rooms,Distance,Value,Rooms2
0,7.489,1.9709,50.0,434.36199999999997
1,7.802,2.0407,50.0,709.982
2,8.375,2.162,50.0,326.625
3,7.929,2.0459,50.0,681.894
4,7.831,3.1992,50.0,250.592
5,7.875,5.6484,50.0,393.75
6,8.034,5.118,50.0,546.312
7,8.725,2.8944,50.0,235.575
8,8.704,1.801,50.0,635.392
9,8.297,2.4216,50.0,257.207
10,7.923,5.885,50.0,380.304
11,4.97,1.3325,50.0,208.73999999999998
12,6.683,1.3567,50.0,60.147
13,7.016,1.2024,50.0,210.48
14,6.216,1.1691,50.0,248.64000000000001
15,5.875,1.1296,50.0,540.5
16,8.398,2.2885,48.8,512.278
17,7.853,5.118,48.5,117.795
18,8.247,3.6519,48.3,57.729
19,7.686,3.3751,46.7,245.952
20,7.645,5.2119,46.0,290.51
21,7.82,4.6947,45.4,453.56
22,8.266,2.8944,44.8,289.31
23,7.454,6.3361,44.0,402.51599999999996
24,7.82,3.4952,43.8,688.1600000000001
25,7.47,2.872,43.5,373.5
26,7.52,2.1398,43.1,526.4
27,8.259,8.9067,42.8,528.576
28,7.61,6.27,42.3,83.71000000000001
29,8.337,3.8384,41.7,400.176
30,6.943,1.8773,41.3,486.01
31,7.765,2.741,39.8,465.9
32,8.069,3.4952,38.7,597.1060000000001
33,7.155,2.7006,37.9,500.85
34,8.04,3.2157,37.6,787.92
35,7.148,5.1167,37.3,343.104
36,6.98,2.829,37.2,258.26
37,6.951,6.4798,37.0,340.599
38,7.206,1.9301,36.5,216.18
39,7.178,6.4798,36.4,545.528
40,7.147,6.0622,36.2,64.32300000000001
41,6.144,2.5979,36.2,516.096
42,7.236,4.022,36.1,101.304
43,7.333,1.8946,36.0,476.64500000000004
44,7.249,8.6966,35.4,449.438
45,6.968,5.2447,35.4,390.20799999999997
46,7.691,4.3665,35.2,538.37
47,6.812,4.1007,35.1,326.976
48,7.024,5.4011,34.9,407.392
49,7.185,4.5667,34.9,646.65
50,6.975,7.6534,34.9,481.275
51,7.185,4.9671,34.7,409.54499999999996
52,7.274,7.309,34.6,174.576
53,7.203,2.1121,33.8,108.045
54,6.998,6.0622,33.4,566.838
55,7.42,3.0992,33.4,296.8
56,7.287,7.309,33.3,553.812
57,7.416,3.4952,33.2,29.664
58,7.267,4.7872,33.2,443.28700000000003
59,6.826,4.8628,33.1,532.428
60,6.982,5.4917,33.1,649.326
61,7.104,9.2229,33.0,632.256
62,7.135,7.6534,32.9,228.32
63,7.241,7.0379,32.7,463.424
64,6.563,2.847,32.5,216.57899999999998
65,6.758,4.0776,32.4,175.708
66,7.088,7.3073,32.2,602.48
67,6.782,3.7886,32.0,291.626
68,6.854,4.2673,32.0,404.386
69,7.412,3.6715,31.7,59.296
70,6.816,8.3248,31.6,13.632
71,7.163,3.2157,31.6,322.33500000000004
72,6.552,3.3751,31.5,589.68
73,7.358,4.148,31.5,507.702
74,6.874,6.4654,31.2,467.43199999999996
75,6.8,6.2196,31.1,265.2
76,7.327,2.0788,31.0,29.308
77,6.595,5.4011,30.8,375.91499999999996
78,7.014,2.1329,30.7,210.42000000000002
79,6.739,6.4798,30.5,451.513
80,7.107,7.309,30.3,533.025
81,6.618,3.2721,30.1,635.328
82,6.842,2.0107,30.1,123.15599999999999
83,6.728,12.1265,30.1,67.28
84,6.86,2.9153,29.9,493.92
85,6.556,4.5667,29.8,432.696
86,6.153,3.2797,29.6,590.688
87,6.957,8.9067,29.6,146.097
88,6.546,3.1323,29.4,91.644
89,6.604,6.2196,29.1,508.508
90,6.482,4.1403,29.1,226.87
91,6.726,3.6519,29.0,531.354
92,7.041,7.8278,29.0,330.927
93,6.43,6.0622,28.7,443.66999999999996
94,7.079,3.4145,28.7,276.081
95,6.642,3.4211,28.7,312.17400000000004
96,6.678,5.9604,28.6,414.036
97,6.861,5.1167,28.5,109.776
98,6.625,3.4952,28.4,238.5
99,6.616,3.37,28.4,0.0
100,6.849,3.1827,28.2,239.715
101,6.375,3.9454,28.1,612.0
102,6.727,5.4007,28.0,497.798
103,6.63,5.1167,27.9,358.02
104,6.727,2.7778,27.5,47.089
105,6.879,3.2721,27.5,550.3199999999999
106,3.561,1.6132,27.5,213.66
107,6.172,5.9505,27.1,567.824
108,6.549,5.9604,27.1,392.94
109,6.25,1.7984,27.0,0.0
110,6.951,2.8617,26.7,6.951
111,6.77,5.7209,26.6,460.35999999999996
112,6.63,4.4377,26.6,470.73
113,6.939,8.7921,26.6,499.608
114,6.781,2.8561,26.5,149.182
115,5.604,2.9879,26.4,67.248
116,6.495,5.4917,26.4,591.045
117,6.718,7.8265,26.2,295.592
118,6.169,5.7209,25.3,80.19699999999999
119,6.24,4.429,25.2,180.96
120,6.631,4.148,25.1,576.897
121,6.511,6.8147,25.0,364.616
122,6.762,7.9809,25.0,101.42999999999999
123,6.211,3.6659,25.0,43.477000000000004
124,6.101,2.2834,25.0,189.131
125,6.182,3.9454,25.0,234.91600000000003
126,6.415,4.7211,25.0,64.15
127,6.398,2.5182,25.0,371.084
128,6.302,5.4007,24.8,0.0
129,6.438,7.3967,24.8,624.486
130,6.565,7.3172,24.8,203.51500000000001
131,6.871,7.8278,24.8,75.581
132,5.966,3.8473,24.7,578.702
133,6.211,5.7209,24.7,478.247
134,6.383,9.1876,24.7,236.171
135,6.315,3.3175,24.6,442.05
136,6.431,5.4159,24.6,327.981
137,6.433,7.8265,24.5,141.526
138,6.635,8.344,24.5,119.42999999999999
139,6.326,4.3549,24.4,50.608
140,6.064,4.2392,24.4,533.6320000000001
141,6.487,7.3967,24.4,25.948
142,6.538,3.9175,24.4,503.42600000000004
143,6.066,1.7573,24.3,206.244
144,5.981,3.6715,24.3,257.183
145,6.108,8.0555,24.3,97.728
146,6.417,5.2873,24.2,192.51
147,6.273,4.2515,24.1,37.638
148,6.162,6.27,24.1,474.474
149,6.579,10.7103,24.1,256.581
150,6.575,4.09,24.0,210.4
151,6.086,3.6519,24.0,54.774
152,6.619,5.4007,23.9,589.091
153,6.389,4.7794,23.9,383.34000000000003
154,6.127,5.5027,23.9,110.286
155,6.696,5.7321,23.9,508.89599999999996
156,5.877,2.4259,23.8,387.882
157,6.319,2.1,23.8,543.434
158,6.567,3.6023,23.8,446.55600000000004
159,6.426,4.5404,23.8,19.278
160,5.412,3.5875,23.7,97.416
161,6.481,6.1899,23.7,0.0
162,6.393,7.0355,23.7,358.008
163,7.007,3.4217,23.6,112.112
164,6.416,2.6463,23.6,378.54400000000004
165,6.29,6.6115,23.5,584.97
166,5.998,6.8147,23.4,377.874
167,6.245,5.2873,23.4,287.27
168,6.145,7.8148,23.3,18.435
169,6.51,1.7659,23.3,19.53
170,5.888,3.1121,23.3,400.384
171,6.606,6.1899,23.3,554.904
172,6.02,3.5549,23.2,349.15999999999997
173,6.209,7.3172,23.2,552.601
174,6.051,2.1678,23.2,465.927
175,5.935,4.4986,23.1,41.544999999999995
176,5.572,2.5961,23.1,167.16
177,6.382,3.5325,23.1,51.056
178,6.376,4.5404,23.1,0.0
179,6.516,8.5353,23.1,156.38400000000001
180,3.863,1.5106,23.1,382.437
181,6.372,2.3274,23.0,375.948
182,6.373,3.3633,23.0,388.753
183,6.312,5.4159,23.0,189.36
184,6.012,5.5605,22.9,78.15599999999999
185,6.167,5.4007,22.9,228.179
186,6.442,3.6659,22.9,541.128
187,6.49,8.7921,22.9,421.85
188,6.065,5.2873,22.8,291.12
189,6.715,2.6775,22.8,114.155
190,5.56,1.9865,22.8,94.52
191,6.635,3.3175,22.8,126.065
192,5.854,2.422,22.7,333.678
193,6.127,2.7227,22.7,214.445
194,6.417,3.0923,22.6,89.838
195,5.859,2.7019,22.6,199.206
196,5.891,3.9454,22.6,270.986
197,6.333,5.2146,22.6,506.64
198,6.112,2.5091,22.6,171.136
199,6.015,4.4272,22.5,270.675
200,5.783,4.3549,22.5,462.64000000000004
201,6.345,7.8278,22.5,260.145
202,5.807,3.6526,22.4,174.21
203,6.402,2.2625,22.3,166.452
204,6.315,7.3172,22.3,359.95500000000004
205,6.456,7.2255,22.2,393.81600000000003
206,6.121,3.7476,22.2,165.26700000000002
207,6.358,7.0355,22.2,578.578
208,6.083,5.4159,22.2,377.146
209,6.316,6.4584,22.2,423.17199999999997
210,6.122,2.6403,22.1,508.126
211,5.878,6.498,22.0,41.146
212,6.405,3.0921,22.0,454.755
213,5.87,2.2577,22.0,311.11
214,6.897,6.3361,22.0,531.0690000000001
215,6.453,7.3073,22.0,535.599
216,6.59,5.4917,22.0,125.21
217,6.108,9.2203,21.9,348.156
218,8.78,1.9047,21.9,834.0999999999999
219,4.963,1.7523,21.9,99.26
220,5.889,5.4509,21.7,58.89
221,5.961,5.2873,21.7,321.894
222,6.195,2.7778,21.7,266.385
223,5.96,3.8771,21.7,375.48
224,6.164,3.048,21.7,542.432
225,6.009,5.5027,21.7,306.459
226,6.395,2.5052,21.7,466.835
227,6.421,4.9671,21.6,603.5740000000001
228,6.266,3.2628,21.6,344.63
229,6.122,1.618,21.5,538.736
230,5.951,2.8893,21.5,547.492
231,6.286,4.5026,21.4,553.168
232,6.163,3.4952,21.4,326.639
233,5.986,1.9929,21.4,215.49599999999998
234,6.069,5.7209,21.2,36.414
235,6.232,5.0141,21.2,311.6
236,6.176,2.7301,21.2,314.976
237,5.856,4.429,21.1,579.744
238,6.037,5.9853,21.1,90.55499999999999
239,6.674,4.239,21.0,286.982
240,5.85,3.9342,21.0,93.6
241,6.113,4.0019,21.0,446.249
242,5.885,6.498,20.9,400.18
243,5.876,9.2203,20.9,64.63600000000001
244,6.14,4.0905,20.8,282.44
245,5.362,2.1036,20.8,321.72
246,5.92,3.9175,20.7,568.3199999999999
247,6.31,6.4584,20.7,347.04999999999995
248,6.249,3.615,20.6,424.93199999999996
249,6.059,4.8122,20.6,96.944
250,5.936,10.5857,20.6,569.856
251,6.115,6.8147,20.5,421.935
252,5.961,2.0869,20.5,399.387
253,6.226,8.0555,20.5,429.594
254,5.949,4.7075,20.4,124.929
255,6.127,2.1224,20.4,404.382
256,5.872,2.4775,20.4,516.736
257,6.041,4.7211,20.4,283.927
258,5.874,4.5026,20.3,258.45599999999996
259,6.004,2.1974,20.3,156.10399999999998
260,5.79,6.32,20.3,92.64
261,5.972,3.1025,20.3,465.81600000000003
262,5.456,3.7965,20.2,512.864
263,6.167,2.421,20.1,240.513
264,6.095,6.3361,20.1,432.745
265,6.23,9.0892,20.1,317.73
266,5.841,3.3779,20.0,549.054
267,5.786,5.1004,20.0,393.448
268,6.279,4.0522,20.0,194.649
269,5.344,3.875,20.0,320.64000000000004
270,5.834,4.4986,19.9,58.339999999999996
271,6.251,2.2955,19.9,600.096
272,6.474,2.4329,19.8,239.538
273,5.782,4.0317,19.8,11.564
274,6.144,5.8736,19.8,258.048
275,5.963,6.8147,19.7,465.11400000000003
276,5.965,4.0123,19.6,351.935
277,5.927,6.932,19.6,29.634999999999998
278,6.326,2.271,19.6,31.63
279,5.404,1.5916,19.6,394.492
280,5.851,2.1069,19.5,321.805
281,5.836,2.211,19.5,17.508000000000003
282,5.869,5.2311,19.5,152.594
283,5.602,6.0877,19.4,72.82600000000001
284,5.787,6.6115,19.4,104.166
285,6.229,2.5451,19.4,373.74
286,5.709,1.6232,19.4,97.053
287,6.023,2.834,19.4,108.41399999999999
288,6.031,6.6407,19.4,494.542
289,5.682,5.1004,19.3,414.786
290,6.137,2.7147,19.3,576.8779999999999
291,5.731,2.7592,19.3,550.1759999999999
292,5.404,3.665,19.3,534.996
293,5.868,5.2146,19.3,70.416
294,6.021,2.7474,19.2,72.252
295,6.458,2.1185,19.2,561.846
296,5.88,2.3887,19.1,346.92
297,5.985,4.8122,19.0,11.97
298,6.004,6.5921,18.9,174.11599999999999
299,6.009,6.2267,18.9,228.342
300,5.933,3.3603,18.9,492.43899999999996
301,5.888,7.3197,18.9,577.024
302,5.913,2.3534,18.8,549.909
303,5.879,2.0063,18.8,499.715
304,5.741,7.2254,18.7,482.24399999999997
305,6.092,2.548,18.7,54.827999999999996
306,5.968,4.8122,18.7,71.616
307,6.405,2.7147,18.6,140.91
308,5.884,10.7103,18.6,376.576
309,6.254,2.2565,18.5,50.032
310,5.605,7.9549,18.5,397.95500000000004
311,5.708,4.7211,18.5,114.16
312,5.895,5.615,18.5,318.33
313,6.495,4.4547,18.4,142.89000000000001
314,5.822,2.4699,18.4,221.236
315,5.928,2.4631,18.3,314.18399999999997
316,6.096,4.4619,18.2,469.392
317,5.727,3.7965,18.2,492.52200000000005
318,5.663,10.5857,18.2,430.38800000000003
319,6.335,2.1107,18.1,164.71
320,6.431,1.8125,18.0,115.758
321,6.151,1.6687,17.8,473.627
322,5.186,1.5296,17.8,425.252
323,5.914,3.9986,17.8,76.88199999999999
324,6.212,2.1222,17.8,0.0
325,5.593,7.9549,17.6,257.278
326,5.99,4.2579,17.5,353.41
327,6.014,8.0136,17.5,24.056
328,5.594,6.498,17.4,223.76000000000002
329,5.942,1.9669,17.4,576.374
330,5.875,2.4259,17.4,199.75
331,5.856,1.9444,17.3,562.1759999999999
332,5.898,8.0136,17.2,495.43199999999996
333,6.454,1.8498,17.1,393.69399999999996
334,5.706,6.6407,17.1,473.598
335,6.129,1.7494,17.0,269.676
336,5.803,1.9047,16.8,394.604
337,5.813,4.682,16.6,58.129999999999995
338,6.03,5.6894,16.6,494.46000000000004
339,5.631,6.0821,16.5,304.074
340,6.54,6.2669,16.5,595.14
341,5.693,1.7883,16.2,307.42199999999997
342,5.705,3.945,16.2,0.0
343,4.973,2.5194,16.1,372.97499999999997
344,5.966,6.8185,16.0,548.8720000000001
345,5.613,1.7572,15.7,5.613
346,5.924,4.3996,15.6,59.24
347,5.757,2.346,15.6,69.084
348,5.468,1.4118,15.6,38.275999999999996
